date,amihud,avgPrice,cpqs,highPrice,ln_voli,lowPrice,orders,r100,r100yr,retd,retm,stdy,typeID,volume
2007-02-28,2.036413440984903e-11,351.73214285714283,0.09042169442978253,362.7099999999999,21.571831886358307,331.49463928571424,111.60714285714286,0.24043429013454154,0.13672897196261677,-0.04291090856191009,-0.20117859997440024,4.963344071979141,16273.0,7283997.357142857
2007-03-31,2.0364134409849033e-11,312.9441903225807,0.08488149836717034,324.27419032258064,21.52468454189692,298.1432225806451,117.70967741935483,0.24043429013454157,0.13672897196261677,-0.0431591174791572,-0.1102769630875503,4.963344071979142,16273.0,7687493.741935484
2007-04-30,2.036413440984903e-11,327.06333,0.07907696065973568,331.5330000000001,21.605949695562547,307.23199666666665,128.2,0.24043429013454157,0.13672897196261677,-0.04056714826974018,0.04511711709000066,4.963344071979141,16273.0,8305048.033333333
2007-05-31,2.0364134409849033e-11,333.7328999999999,0.04596868913019655,338.9329032258064,21.742132335402456,323.751935483871,149.03225806451613,0.24043429013454157,0.13672897196261677,-0.015022794193644893,0.020392289163080113,4.963344071979142,16273.0,8669388.387096774
2007-06-30,2.036413440984903e-11,338.89499666666666,0.07844825210930595,353.4343266666666,21.733123681771282,326.3769933333334,164.2,0.24043429013454157,0.13672897196261677,-0.045895235225676574,0.015467748809502302,4.963344071979141,16273.0,9575748.933333334
2007-07-31,2.0364134409849033e-11,389.79806451612905,0.07123853922120776,397.583870967742,22.158540001166976,370.5996774193548,181.83870967741936,0.24043429013454157,0.13672897196261677,-0.027283630737543467,0.1502030668795329,4.963344071979142,16273.0,11410601.483870968
2007-08-31,2.0364134409849033e-11,384.4012903225807,0.04437981579411125,391.93289032258065,22.345218872569053,374.8896612903225,193.1290322580645,0.24043429013454157,0.13672897196261677,-0.02413307493845558,-0.01384505128379121,4.963344071979142,16273.0,13747392.129032258
2007-09-30,2.036413440984903e-11,368.38533,0.05500914964291805,373.8136599999999,22.361333135104143,353.71833333333336,202.33333333333334,0.24043429013454157,0.13672897196261677,-0.030183845457652608,-0.04166468928639766,4.963344071979141,16273.0,14611794.4
2007-10-31,2.0364134409849033e-11,354.8280580645162,0.06526379145409086,365.4129,22.348364249131897,342.1412806451613,210.61290322580646,0.24043429013454157,0.13672897196261677,-0.024692690167098585,-0.036801877901825764,4.963344071979142,16273.0,15156858.41935484
2007-11-30,2.036413440984903e-11,423.9170000000001,0.08122198148416483,437.04832999999996,22.415134013522763,402.71466333333336,207.5,0.24043429013454157,0.13672897196261677,-0.022908537839306017,0.194711044871547,4.963344071979141,16273.0,13695852.533333333
